Matrix,Normal Binding (ms),Multi Binding (ms),Strict LB (ms),DTCSpMM Min (ms)
pwtk,1.81,1.81,2.51,2.63202
rma10,0.41552,0.4184,0.47174,0.666958
shipsec1,1.47,1.48,1.64,2.41095
scircuit,0.9289,0.91517,0.99248,1.24701
conf5_4-8x8-10,0.57104,0.57427,0.57466,0.871185
mc2depi,4.3,4.32,4.28,3.7113
webbase-1M,6.62,6.72,6.09,4.90096
mac_econ_fwd500,1.16,1.17,1.32,1.71269
pdb1HYS,0.53744,0.53283,0.57194,0.837061
consph,1.07,1.07,1.14,1.72479
cant,0.7615,0.75834,0.82326,1.22137
cop20k_A,1.16,1.23,1.28,2.05077
eu-2005,7.21,7.06,7.07,10.2521
Si41Ge41H72,5.52,5.42,5.36,8.83158
Ga41As41H72,7.34,7.31,7.26,12.0862
ASIC_680k,48.29,5.71,4.53,
dc2,13.34,0.9895,0.74851,1.6593
mip1,8.32,1.08,1.12,2.90303